LAST SEEN   TYPE      REASON                         OBJECT                                  MESSAGE
49m         Warning   FailedScheduling               pod/gateway-7c998dd6f8-nslf7            0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
49m         Warning   FailedScheduling               pod/product-5c79bb699c-t6csh            0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
49m         Warning   FailedScheduling               pod/product-5c79bb699c-c4h6m            0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
48m         Normal    SuccessfulDelete               replicaset/order-59bbb567bf             Deleted pod: order-59bbb567bf-vfxsm
48m         Normal    SuccessfulDelete               replicaset/gateway-7c998dd6f8           Deleted pod: gateway-7c998dd6f8-ld4ws
48m         Normal    SuccessfulDelete               replicaset/order-59bbb567bf             Deleted pod: order-59bbb567bf-5ff2t
48m         Normal    SuccessfulDelete               replicaset/order-59bbb567bf             Deleted pod: order-59bbb567bf-f2tsx
48m         Normal    SuccessfulDelete               replicaset/order-59bbb567bf             Deleted pod: order-59bbb567bf-qtf8q
48m         Normal    SuccessfulDelete               replicaset/order-59bbb567bf             Deleted pod: order-59bbb567bf-swcvm
48m         Normal    SuccessfulDelete               replicaset/order-59bbb567bf             Deleted pod: order-59bbb567bf-l9hxv
48m         Normal    SuccessfulDelete               replicaset/order-59bbb567bf             Deleted pod: order-59bbb567bf-dgjjl
48m         Normal    SuccessfulDelete               replicaset/order-59bbb567bf             Deleted pod: order-59bbb567bf-hzrb8
48m         Warning   FailedScheduling               pod/inventory-7b9846b88-f8jx5           0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
48m         Normal    SuccessfulRescale              horizontalpodautoscaler/order-hpa       New size: 4; reason: All metrics below target
48m         Normal    Scheduled                      pod/inventory-7b9846b88-f8jx5           Successfully assigned shoply/inventory-7b9846b88-f8jx5 to k8s-worker2
48m         Normal    Scheduled                      pod/payment-bcd66f5fc-vhvrj             Successfully assigned shoply/payment-bcd66f5fc-vhvrj to k8s-worker2
48m         Normal    ScalingReplicaSet              deployment/order                        Scaled down replica set order-59bbb567bf from 15 to 4
48m         Warning   FailedScheduling               pod/payment-bcd66f5fc-vhvrj             0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
48m         Warning   FailedScheduling               pod/inventory-7b9846b88-zsdlh           0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
48m         Normal    Killing                        pod/gateway-7c998dd6f8-l4jhf            Stopping container gateway
48m         Normal    Killing                        pod/gateway-7c998dd6f8-s988f            Stopping container gateway
48m         Normal    Scheduled                      pod/inventory-7b9846b88-zsdlh           Successfully assigned shoply/inventory-7b9846b88-zsdlh to k8s-worker2
48m         Normal    ScalingReplicaSet              deployment/gateway                      Scaled down replica set gateway-7c998dd6f8 from 18 to 3
48m         Normal    SuccessfulDelete               replicaset/product-5c79bb699c           Deleted pod: product-5c79bb699c-splf2
48m         Normal    Killing                        pod/order-59bbb567bf-swcvm              Stopping container order
48m         Normal    SuccessfulDelete               replicaset/product-5c79bb699c           Deleted pod: product-5c79bb699c-7wwnj
48m         Normal    SuccessfulDelete               replicaset/product-5c79bb699c           Deleted pod: product-5c79bb699c-t6csh
48m         Normal    SuccessfulRescale              horizontalpodautoscaler/gateway-hpa     New size: 3; reason: All metrics below target
48m         Normal    SuccessfulDelete               replicaset/product-5c79bb699c           Deleted pod: product-5c79bb699c-c4h6m
48m         Normal    Killing                        pod/product-5c79bb699c-splf2            Stopping container product
48m         Normal    Killing                        pod/gateway-7c998dd6f8-w2w88            Stopping container gateway
48m         Normal    Killing                        pod/gateway-7c998dd6f8-gtdxw            Stopping container gateway
48m         Normal    Killing                        pod/product-5c79bb699c-7wwnj            Stopping container product
48m         Normal    Killing                        pod/gateway-7c998dd6f8-fcj8s            Stopping container gateway
48m         Normal    Killing                        pod/order-59bbb567bf-l9hxv              Stopping container order
48m         Normal    Scheduled                      pod/payment-bcd66f5fc-vhdjs             Successfully assigned shoply/payment-bcd66f5fc-vhdjs to k8s-worker1
48m         Warning   FailedScheduling               pod/payment-bcd66f5fc-vhdjs             0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
48m         Normal    Killing                        pod/order-59bbb567bf-hzrb8              Stopping container order
48m         Warning   FailedScheduling               pod/payment-bcd66f5fc-jkwww             0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
48m         Normal    Scheduled                      pod/payment-bcd66f5fc-jkwww             Successfully assigned shoply/payment-bcd66f5fc-jkwww to k8s-worker1
48m         Normal    ScalingReplicaSet              deployment/product                      Scaled down replica set product-5c79bb699c from 5 to 1
48m         Normal    Scheduled                      pod/payment-bcd66f5fc-xrpfq             Successfully assigned shoply/payment-bcd66f5fc-xrpfq to k8s-worker2
48m         Normal    Killing                        pod/order-59bbb567bf-dgjjl              Stopping container order
48m         Normal    SuccessfulDelete               replicaset/gateway-7c998dd6f8           Deleted pod: gateway-7c998dd6f8-6xt4g
48m         Normal    SuccessfulDelete               replicaset/order-59bbb567bf             Deleted pod: order-59bbb567bf-6ksxk
48m         Normal    SuccessfulDelete               replicaset/gateway-7c998dd6f8           Deleted pod: gateway-7c998dd6f8-2fgft
48m         Normal    SuccessfulDelete               replicaset/gateway-7c998dd6f8           Deleted pod: gateway-7c998dd6f8-gtdxw
48m         Normal    SuccessfulDelete               replicaset/gateway-7c998dd6f8           Deleted pod: gateway-7c998dd6f8-l4jhf
48m         Normal    Killing                        pod/gateway-7c998dd6f8-zs678            Stopping container gateway
48m         Normal    SuccessfulDelete               replicaset/gateway-7c998dd6f8           Deleted pod: gateway-7c998dd6f8-zs678
48m         Normal    SuccessfulDelete               replicaset/gateway-7c998dd6f8           Deleted pod: gateway-7c998dd6f8-s988f
48m         Normal    SuccessfulDelete               replicaset/gateway-7c998dd6f8           Deleted pod: gateway-7c998dd6f8-w2w88
48m         Normal    SuccessfulDelete               replicaset/gateway-7c998dd6f8           Deleted pod: gateway-7c998dd6f8-fcj8s
48m         Normal    Pulling                        pod/payment-bcd66f5fc-xrpfq             Pulling image "ghcr.io/incheon-soda/shoply-payment:latest"
48m         Normal    Pulling                        pod/inventory-7b9846b88-f8jx5           Pulling image "ghcr.io/incheon-soda/shoply-inventory:latest"
48m         Normal    Pulling                        pod/payment-bcd66f5fc-vhvrj             Pulling image "ghcr.io/incheon-soda/shoply-payment:latest"
48m         Normal    Pulling                        pod/payment-bcd66f5fc-vhdjs             Pulling image "ghcr.io/incheon-soda/shoply-payment:latest"
48m         Normal    Pulling                        pod/inventory-7b9846b88-zsdlh           Pulling image "ghcr.io/incheon-soda/shoply-inventory:latest"
48m         Normal    Pulling                        pod/payment-bcd66f5fc-jkwww             Pulling image "ghcr.io/incheon-soda/shoply-payment:latest"
48m         Normal    Created                        pod/payment-bcd66f5fc-vhdjs             Created container: payment
48m         Normal    Pulled                         pod/payment-bcd66f5fc-jkwww             Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 717ms (1.441s including waiting). Image size: 62780980 bytes.
48m         Normal    Started                        pod/payment-bcd66f5fc-jkwww             Started container payment
