LAST SEEN   TYPE      REASON                         OBJECT                                  MESSAGE
60m         Normal    Pulled                         pod/payment-84d4c68676-bbn7b            Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 5.016s (5.016s including waiting). Image size: 62780980 bytes.
60m         Normal    Pulled                         pod/order-556547d684-c4brx              Successfully pulled image "ghcr.io/incheon-soda/shoply-order:latest" in 764ms (2.832s including waiting). Image size: 69825511 bytes.
60m         Normal    Pulled                         pod/order-556547d684-kk58j              Successfully pulled image "ghcr.io/incheon-soda/shoply-order:latest" in 757ms (3.539s including waiting). Image size: 69825511 bytes.
60m         Normal    SuccessfulCreate               replicaset/inventory-7c5c586469         Created pod: inventory-7c5c586469-k54j5
60m         Normal    SuccessfulCreate               replicaset/product-7f7cb5797d           Created pod: product-7f7cb5797d-48lg7
60m         Normal    Pulling                        pod/gateway-7b76d459b9-hszdg            Pulling image "ghcr.io/incheon-soda/shoply-gateway:latest"
60m         Normal    Pulled                         pod/order-556547d684-6dppq              Successfully pulled image "ghcr.io/incheon-soda/shoply-order:latest" in 779ms (779ms including waiting). Image size: 69825511 bytes.
60m         Normal    Pulling                        pod/product-7f7cb5797d-48lg7            Pulling image "ghcr.io/incheon-soda/shoply-product:latest"
60m         Normal    Pulled                         pod/inventory-7c5c586469-k54j5          Successfully pulled image "ghcr.io/incheon-soda/shoply-inventory:latest" in 740ms (740ms including waiting). Image size: 63283423 bytes.
60m         Normal    Created                        pod/gateway-7b76d459b9-hszdg            Created container: gateway
60m         Normal    Pulled                         pod/gateway-7b76d459b9-hszdg            Successfully pulled image "ghcr.io/incheon-soda/shoply-gateway:latest" in 743ms (1.41s including waiting). Image size: 63587715 bytes.
60m         Normal    Started                        pod/gateway-7b76d459b9-hszdg            Started container gateway
60m         Normal    Started                        pod/product-7f7cb5797d-48lg7            Started container product
60m         Normal    Created                        pod/product-7f7cb5797d-48lg7            Created container: product
60m         Normal    Pulled                         pod/product-7f7cb5797d-48lg7            Successfully pulled image "ghcr.io/incheon-soda/shoply-product:latest" in 722ms (2.099s including waiting). Image size: 64210416 bytes.
60m         Normal    Pulled                         pod/inventory-7c5c586469-lq6f8          Successfully pulled image "ghcr.io/incheon-soda/shoply-inventory:latest" in 780ms (780ms including waiting). Image size: 63283423 bytes.
